Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
kanzi,kanzi.app,BlockCompressor,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BlockCompressor; Kanzi; BlockDecompressor
kanzi,kanzi.app,BlockCompressor.FileCompressResult,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: code; read; written
kanzi,kanzi.app,BlockCompressor.FileCompressResult,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.app,BlockCompressor.FileCompressTask,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ctx; is; cos; listeners
kanzi,kanzi.app,BlockCompressor.FileCompressTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.app,BlockCompressor.FileCompressWorker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: queue
kanzi,kanzi.app,BlockCompressor.FileCompressWorker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.app,BlockDecompressor.FileDecompressResult,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: code; read
kanzi,kanzi.app,BlockDecompressor.FileDecompressResult,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.app,BlockDecompressor.FileDecompressTask,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ctx; cis; os; listeners
kanzi,kanzi.app,BlockDecompressor.FileDecompressTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.app,BlockDecompressor.FileDecompressWorker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: queue
kanzi,kanzi.app,BlockDecompressor.FileDecompressWorker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.app,InfoPrinter.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
kanzi,kanzi.app,InfoPrinter.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.app,InfoPrinter.BlockInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi.app,InfoPrinter.BlockInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: time0; time1; time2; time3; stage0Size; stage1Size
kanzi,kanzi.app,Kanzi,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 118
kanzi,kanzi,BitStreamException,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; UNDEFINED; INPUT_OUTPUT; END_OF_STREAM; INVALID_STREAM; STREAM_CLOSED; code
kanzi,kanzi,Error,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kanzi,kanzi,Error,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ERR_MISSING_PARAM; ERR_BLOCK_SIZE; ERR_INVALID_CODEC; ERR_CREATE_COMPRESSOR; ERR_CREATE_DECOMPRESSOR; ERR_OUTPUT_IS_DIR; ERR_OVERWRITE_FILE; ERR_CREATE_FILE; ERR_CREATE_BITSTREAM; ERR_OPEN_FILE; ERR_READ_FILE; ERR_WRITE_FILE; ERR_PROCESS_BLOCK; ERR_CREATE_CODEC; ERR_INVALID_FILE; ERR_STREAM_VERSION; ERR_CREATE_STREAM; ERR_INVALID_PARAM; ERR_CRC_CHECK; ERR_UNKNOWN
