Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
kanzi,kanzi.app,BlockCompressor,BlockCompressor,0,14,1,76,0,kanzi.app.BlockCompressor,kanzi.app.BlockCompressor
kanzi,kanzi.app,BlockCompressor,dispose,3,2,0,179,0,,
kanzi,kanzi.app,BlockCompressor,run,3,1,0,186,0,kanzi.app.BlockCompressor,kanzi.app.BlockCompressor
kanzi,kanzi.app,BlockCompressor,call,174,33,0,194,0,kanzi.app.BlockCompressor,kanzi.app.BlockCompressor
kanzi,kanzi.app,BlockCompressor,printOut,3,2,2,453,0,,
kanzi,kanzi.app,BlockCompressor,addListener,3,1,1,460,0,,
kanzi,kanzi.app,BlockCompressor,removeListener,3,1,1,466,0,,
kanzi,kanzi.app,BlockCompressor,notifyListeners,9,2,2,472,0,,
kanzi,kanzi.app,BlockCompressor,getTransformAndCodec,0,11,1,488,0,,
kanzi,kanzi.app,BlockDecompressor,BlockDecompressor,24,6,1,66,0,kanzi.app.BlockDecompressor,kanzi.app.BlockDecompressor
kanzi,kanzi.app,BlockDecompressor,dispose,3,2,0,103,0,,
kanzi,kanzi.app,BlockDecompressor,run,3,1,0,110,0,kanzi.app.BlockDecompressor,kanzi.app.BlockDecompressor
kanzi,kanzi.app,BlockDecompressor,call,141,28,0,117,0,kanzi.app.BlockDecompressor,kanzi.app.BlockDecompressor
kanzi,kanzi.app,BlockDecompressor,printOut,3,2,2,335,0,,
kanzi,kanzi.app,BlockDecompressor,addListener,3,1,1,342,0,,
kanzi,kanzi.app,BlockDecompressor,removeListener,3,1,1,348,0,,
kanzi,kanzi.app,BlockDecompressor,notifyListeners,9,2,2,354,0,,
kanzi,kanzi.app,InfoPrinter,InfoPrinter,8,2,3,37,0,,
kanzi,kanzi.app,InfoPrinter,processEvent,58,20,1,68,0,,
kanzi,kanzi.app,Kanzi,main,49,7,1,60,0,,
kanzi,kanzi.app,Kanzi,processCommandLine,0,85,2,142,0,kanzi.app.Kanzi,kanzi.app.Kanzi
kanzi,kanzi.app,Kanzi,printHelp,92,8,1,677,0,kanzi.app.Kanzi,kanzi.app.Kanzi
kanzi,kanzi.app,Kanzi,printOut,3,2,2,788,0,,
kanzi,kanzi.app,Kanzi,createFileList,41,16,4,795,0,kanzi.app.Kanzi,kanzi.app.Kanzi
kanzi,kanzi,ArrayComparator,compare,0,1,2,23,0,,
kanzi,kanzi,BitStreamException,BitStreamException,3,1,0,32,0,,
kanzi,kanzi,BitStreamException,BitStreamException,4,1,2,38,0,,
