Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
kanzi,kanzi.app,BlockCompressor,32,0,9,6,0,67,0,0,0.0,1,7,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\BlockCompressor.java,47
kanzi,kanzi.app,BlockCompressor.FileCompressResult,3,0,0,0,10,0,0,0,-1.0,0,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\BlockCompressor.java,529
kanzi,kanzi.app,BlockCompressor.FileCompressTask,4,0,0,0,161,0,0,0,-1.0,0,2,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\BlockCompressor.java,545
kanzi,kanzi.app,BlockCompressor.FileCompressWorker,1,0,0,0,20,0,0,0,-1.0,0,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\BlockCompressor.java,801
kanzi,kanzi.app,BlockDecompressor,21,0,8,6,390,43,0,0,0.0,1,6,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\BlockDecompressor.java,47
kanzi,kanzi.app,BlockDecompressor.FileDecompressResult,2,0,0,0,8,0,0,0,-1.0,0,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\BlockDecompressor.java,371
kanzi,kanzi.app,BlockDecompressor.FileDecompressTask,4,0,0,0,159,0,0,0,-1.0,0,2,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\BlockDecompressor.java,385
kanzi,kanzi.app,BlockDecompressor.FileDecompressWorker,1,0,0,0,18,0,0,0,-1.0,0,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\BlockDecompressor.java,635
kanzi,kanzi.app,InfoPrinter,11,0,2,2,82,22,0,0,0.0,2,1,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\InfoPrinter.java,26
kanzi,kanzi.app,InfoPrinter.Type,0,0,0,0,1,0,0,0,-1.0,0,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\InfoPrinter.java,28
kanzi,kanzi.app,InfoPrinter.BlockInfo,6,0,0,0,8,0,0,0,-1.0,0,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\InfoPrinter.java,172
kanzi,kanzi.app,Kanzi,10,0,5,2,0,118,0,0,0.6,2,2,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\app\Kanzi.java,37
kanzi,kanzi,ArrayComparator,0,0,1,1,3,1,0,0,-1.0,3,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\ArrayComparator.java,19
kanzi,kanzi,BitStreamException,7,5,5,4,27,5,0,0,0.0,8,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\BitStreamException.java,19
kanzi,kanzi,ByteSorter,0,0,1,1,3,1,0,0,-1.0,2,0,C:\git\kanzi 3130\.\kanzi\java\src\main\java\kanzi\ByteSorter.java,19
